Method,Precursor,solvent,surfuctant,pH,reducting agent,temperature,timee,particle size,particle shape,easy
hydrothermal,s,1,10,,NaOH/urea (addition at 25-30 C),120,0.08,100,12,50
hydrothermal,a,1,,8,NaOH,300,3,28.98,16,50
hydrothermal,c,1,2,,NaOH,180,18,25,1,50
hydrothermal,n,1,,,Urea,125,6,70,17,50
hydrothermal,a,1,,,KOH,160,16,325,6,50
hydrothermal,c,1,14,,NaOH,130,24,900,18,50
hydrothermal,c,1,14,,NaOH,130,1.7,,6,50
hydrothermal,c,1,14,,NaOH,130,2,,19,50
hydrothermal,c,1,14,,NaOH,130,10,,1,50
hydrothermal,c,1,14,,NaOH,130,18,,18,50
hydrothermal,c,1,,,NaOH,130,24,,14,50
hydrothermal,c,1,2,,NaOH,130,24,,5,50
hydrothermal,s,1,,,NaOH,200,20,,6,50
hydrothermal,s,1,13,,NaOH,200,20,40,20,50
hydrothermal,s,1,13,,NaOH,200,20,,5,50
hydrothermal,a,1,2,,NaOH,120,12,50,12,50
hydrothermal,n,1,,,NaOH,150,40,100,8,50
hydrothermal,c,1,10,,NaOH,140,24,500,12,50
hydrothermal,n,2,15,,NaOH,180,0.66,750,8,50
hydrothermal,a,1,,,NaOH,140,24,90,6,50
hydrothermal,n,1,,6.75,CO(NH2)2,300,3,60,21,50
hydrothermal,n,1,,,NaHCO3,180,6,60,22,50
hydrothermal,n,1,2,,CO(NH2)2,180,6,150,,50
hydrothermal,n,1,,,NaOH,170,6,30,2,50
hydrothermal,n,1,10,,NaOH,170,6,15,2,50
hydrothermal,n,1,2,,NaOH,170,6,29,2,50
hydrothermal,n,1,12,,NaOH,170,6,23,2,50
hydrothermal,n,1,,,NaOH,350,2,60,6,50
hydrothermal,s,1,,8.5,NaOH,180,12,24,5,50
hydrothermal,n,1,,4,NaOH,200,3,70,1,50
hydrothermal,n,1,,12,NaOH,200,3,145,17,50
solvothermal,a,9,,8,,,,100,,55
solvothermal,a,9,,9,,,,90,,55
solvothermal,a,9,,8,,,,40,23,55
solvothermal,a,9,,9,,,,40,23,55
solvothermal,a,9,,8,,,,70,24,55
solvothermal,a,9,,9,,,,70,24,55
solvothermal,a,9,,8,,,,50,1,55
solvothermal,a,9,,9,,,,50,1,55
solvothermal,a,4,,,,,,15,2,55
solvothermal,n,10,,,,,,30000,2,55
solvothermal,a,2,,,,,,20000,2,55
solvothermal,c,1,,,,,,80,1,55
solvothermal,n,1,,,,,,22,1,55
solvothermal,n,1,,,,,,24,1,55
solvothermal,n,1,,,,,,27,1,55
solvothermal,n,1,,,,,,33,12,55
solvothermal,n,2,,,,,,75,,55
solvothermal,c,10,,,,,,3000,5,55
solvothermal,c,10,,,,,,,5,55
solvothermal,c,1,,,,,,,12,55
solvothermal,c,10,,,,,,,5,55
solvothermal,c,10,,,,,,,20,55
solvothermal,c,10,,,,,,,5,55
microwave,a,1,,,NaOH,,0.15,9,2,75
microwave,s,1,,,,90,0.08,80,5,75
microwave,n,1,,,NaOH,68,0.13,1500,5,75
microwave,n,1,,7,NaOH,95,1,40,11,75
microwave,n,1,,7,HMTA,95,1,650,11,75
microwave,n,1,,11,Ammonia,95,1,330,21,75
microwave,n,1,,6,Urea,95,1,2000,2,75
microwave,a,1,,,NaOH,180,0.08,2000,5,75
microwave,c,1,,,NaOH,80,0.16,22,11,75
microwave,a,1,,9,KOH,,0.5,500,1,75
microwave,a,1,,,,400,0.33,16.53,,75
microwave,n,1,,,,,0.25,30,2,75
microwave,c,1,,,NaOH,80,0.16,151,12,75
microwave,c,1,,,NaOH,80,0.16,500,25,75
microwave,c,1,,,NaOH,80,0.02,500,12,75
microwave,c,1,,,NaOH,80,0.05,,25,75
green,n,1,,,,400,,7.5,2,85
green,a,1,,,,700,2,46,26,85
green,n,1,,,,400,2,25,2,85
green,n,1,,,,400,3.5,35,2,85
green,c,1,,,,75,1,6,2,85
green,a,1,,,,500,2,12,2,85
green,s,1,,,,100,7.5,46,2,85
green,a,1,,,,350,,30,2,85
green,n,1,,,,400,2.5,30,1,85
green,s,1,,,,90,,17,27,85
green,s,1,,,,90,,17,27,85
green,a,1,,,,70,,50,2,85
green,a,1,,,,70,,120,28,85
green,a,1,,,,70,,30,1,85
green,a,,,,,30,48,30,2,85
green,c,1,,,,300,3,61.5,29,85
green,n,1,,,,400,3,45,2,85
green,s,8,,,,80,,35,2,85
green,s,1,,,,100,7.5,60,1,85
green,n,1,,,,380,2.5,27,17,85
green,a,1,,,,400,2,21,2,85
